position,hist_mean,hist_std,hist_min,hist_max,n_years,y2026,z_score,delta_vs_mean
LB,1137.0,399.3180297568454,550,1676,10,2057,2.3039280258900674,920.0
WR,2245.4,600.5246224945503,1584,3371,10,2650,0.6737442310347094,404.5999999999999
S,1040.4,377.8448241158149,533,1816,10,1277,0.6261829854455769,236.5999999999999
OT,2096.2,599.1760639040544,1007,2985,10,2418,0.5370708534370454,321.8000000000002
EDGE,2498.5,839.666236601716,1037,3925,10,2816,0.3781264342424688,317.5
TE,741.2,324.04656729824774,265,1141,10,690,-0.15800198232890494,-51.200000000000045
RB,984.7,443.4689141053494,482,1658,10,844,-0.31727139270595117,-140.70000000000005
IOL,1096.6,257.7846646589617,775,1680,10,1013,-0.32430168067056747,-83.59999999999991
CB,2269.4,296.66149808231677,1662,2580,10,2085,-0.6215838630627872,-184.4000000000001
DT,2008.4,923.0372810576082,796,3739,10,1348,-0.7154640593100632,-660.4000000000001
QB,2388.4,725.6001653803561,1247,3351,10,1315,-1.4793271159707206,-1073.4
